

  id  |        name        |  country   | byear | position 
 PP03   | 07.11.06  |   3
 JV03   | 17.11.01  |   3
 SR04   | 05.09.13  |   4
 FC15   | 12.09.18  |   5
 RV05   | 16.09.14  |   5
 SK06   | 11.09.14  |   6
 NF06   | 15.09.15  |   6
 CR07   | 10.09.15  |   7
 MD07   | 18.09.19  |   7
 TK08   | 14.09.16  |   8
 CR07   | 09.09.15  |   9
 KB09   | 10.09.15  |   9
 JR10   | 14.09.16  |  10
 LM10   | 17.09.13  |  10
 KB09   | 09.09.15  |  11
 GB11   | 13.09.17  |  11
 MV12   | 07.09.18  |  12
 KN01   | 14.09.16  |  13
 KC13   | 15.09.15  |  13
 JH14   | 14.09.16  |  14
 CM14   | 15.09.15  |  14
 FC15   | 11.09.14  |  15
 DC02   | 13.09.17  |  15
 TH15   | 17.09.13  |  15
 FV15   | 18.10.23  |  15
 CM14   | 13.09.17  |  16
 LS16   | 15.02.18  |  16
 MK23   | 15.09.15  |  16
 AA17   | 10.09.15  |  17
 LV17   | 16.09.14  |  17
 NF06   | 13.09.17  |  18
 LV17   | 15.09.30  |  18
 MD07   | 16.11.02  |  18
 ML18   | 17.09.26  |  18
 RV05   | 11.09.14  |  19
 LM10   | 12.09.18  |  19
 AH19   | 17.09.26  |  19
 AO19   | 18.10.02  |  19
 JS20   | 13.09.17  |  20
 MA20   | 16.10.18  |  20
 AM21   | 13.09.17  |  21
 DC21   | 15.09.15  |  21
 BM21   | 17.09.13  |  21
 IA22   | 15.09.15  |  22
 DC21   | 12.12.04  |  23
 IA22   | 13.09.17  |  23
 DP23   | 15.10.21  |  23
 MK23   | 17.09.13  |  23
 SR23   | 18.10.02  |  23
 SK06   | 10.09.15  |  24
 NF06   | 12.11.06  |  24
 AI24   | 13.09.17  |  24
 DC24   | 17.09.13  |  24
 IC01   | 00.09.12  |  25
 FP25   | 14.12.16  |  25
 RY25   | 16.09.14  |  25
 TC25   | 18.09.19  |  25
 AM26   | 14.10.22  |  26
 AT27   | 16.11.02  |  27
 JS20   | 11.12.07  |  28
 ML18   | 15.10.21  |  28
 VJ28   | 18.10.02  |  28
 AM21   | 10.12.08  |  29
 BM21   | 15.09.30  |  29
 RY25   | 15.12.08  |  31
 JS31   | 18.11.07  |  31
 NF06   | 11.05.03  |  35
